group,team,rating
G,Brazil,2169
C,Argentina,2143
E,Spain,2048
A,Netherlands,2040
F,Belgium,2007
H,Portugal,2006
D,France,2005
D,Denmark,1971
E,Germany,1963
H,Uruguay,1936
F,Croatia,1927
B,England,1920
G,Switzerland,1902
G,Serbia,1898
A,Ecuador,1833
C,Poland,1814
C,Mexico,1809
B,United States,1798
B,Iran,1797
B,Wales,1790
E,Japan,1787
H,South Korea,1786
F,Canada,1776
F,Morocco,1766
E,Costa Rica,1743
D,Australia,1719
D,Tunisia,1707
A,Senegal,1687
A,Qatar,1680
C,Saudi Arabia,1635
G,Cameroon,1610
H,Ghana,1567
